,side,market,wallet,shares,yes_no_index,pseudonym
46,YES,tyler-robinson-convicted-of-homicide,0x1f451df45d88896731b0d3b98dd3e067f34497ce,82.0,0,Loud-Gerbil
47,YES,tyler-robinson-convicted-of-homicide,0x4f3eb1fc274c703e99cf5294e747791dc8579f2d,82.0,0,Pointless-Planula
48,YES,tyler-robinson-convicted-of-homicide,0x3b992853edf72245e9f826821c4100328b1b424f,79.0,0,Meaty-Torso-Threat
49,YES,tyler-robinson-convicted-of-homicide,0x22a2e8b9fb4c87ac0abfe1fec01769fb9f4808fb,77.0,0,Astonishing-Avocado
137,NO,tyler-robinson-convicted-of-homicide,0x6fb868e4bc34c8be25d8b6dad58f395bdb0d48f6,75.0,1,Violet-Kohlrabi
138,NO,tyler-robinson-convicted-of-homicide,0x5e93348f5f69ed3c7ca7413128360f189f38f9bf,74.0,1,Impartial-Fame
139,NO,tyler-robinson-convicted-of-homicide,0x7618fcaa5034fe22bee47600e049aab50155e714,72.0,1,
50,YES,tyler-robinson-convicted-of-homicide,0x0077b995ba70487753b2fe07fce08149f6bd1a8d,70.0,0,Noted-Scrim
140,NO,tyler-robinson-convicted-of-homicide,0x81443d65a6c42b87d8761915b4344966863e8472,67.0,1,
141,NO,tyler-robinson-convicted-of-homicide,0x755cb1f20588e2c30608c9cfe3d0d2b897e6ba9f,59.0,1,Left-Lipoprotein
142,NO,tyler-robinson-convicted-of-homicide,0xe7e98d511e3b780fe692324288f50bf29fd5b434,57.0,1,
145,NO,tyler-robinson-convicted-of-homicide,0xfa5a0ecbd5c4e9bd45f40a891e0ca99c2380edf2,55.0,1,Instructive-Cuisine
143,NO,tyler-robinson-convicted-of-homicide,0x8dcf7e03c1e09d0c25e7b6fecc9825bce6215668,55.0,1,Honest-Solicitation
144,NO,tyler-robinson-convicted-of-homicide,0xe01b9ccec2aa35c94839257f5dd7c1836485fa88,55.0,1,Hairy-Edible-Venture
51,YES,tyler-robinson-convicted-of-homicide,0x184e72a92bbba50440433b6c7970dc6ac2103a48,54.0,0,Key-Easel
146,NO,tyler-robinson-convicted-of-homicide,0xe85607bf3eddcc3f7cff16671695f5e96bba3789,54.0,1,Ragged-Dose
52,YES,tyler-robinson-convicted-of-homicide,0x7e5b0f8ea02aacdbc3260fd5a4368e3c1aff8d94,53.0,0,
53,YES,tyler-robinson-convicted-of-homicide,0xcd8ff15e682ac6645327c4b349e51280a2a1f877,53.0,0,Unwelcome-Kiosk
54,YES,tyler-robinson-convicted-of-homicide,0x93c6fd4355aa4745566f1dd1d29a84683cef20f1,50.0,0,Elaborate-Gallon
147,NO,tyler-robinson-convicted-of-homicide,0x66a1db98713015330a82f08273b682bee77e80d9,50.0,1,Straight-Hunting
55,YES,tyler-robinson-convicted-of-homicide,0x53505b3d1fa4c06e0783fa63e6c274a6f1072002,47.0,0,Rubbery-Quota
148,NO,tyler-robinson-convicted-of-homicide,0x9f444616d2450a5151922ac7c889911950b97470,47.0,1,Afraid-Mrna
56,YES,tyler-robinson-convicted-of-homicide,0xcb31c048bf172520186bc50914e001698fcd17e6,47.0,0,Superb-Bread
57,YES,tyler-robinson-convicted-of-homicide,0x483b6886d4b9451484e9a43db673efc56f262fc8,45.0,0,Tasty-Learning
58,YES,tyler-robinson-convicted-of-homicide,0x222a1ea9a6ac99a416c3c22e35e872d3c819d5af,45.0,0,Carefree-Fort
149,NO,tyler-robinson-convicted-of-homicide,0xad5353afe30c2da57709e2704ef3ccdcf67eef24,44.0,1,Belated-Glue
