,side,market,wallet,shares,yes_no_index,pseudonym
269,YES,diddy-found-guilty-of-sex-trafficking,0xac69986dbdfbe5339ab77e1e50605e8c6da4b591,7.0,0,Thorough-Receipt
273,YES,diddy-found-guilty-of-sex-trafficking,0x4d5a4221ff3d897056257f5ec6c02930a929bff4,7.0,0,
274,YES,diddy-found-guilty-of-sex-trafficking,0x29f86e93c72d1e5b51add08d1a2f3c35a5beab46,7.0,0,Drafty-Trustee
275,YES,diddy-found-guilty-of-sex-trafficking,0x62c48cbd22094ac5cdbfa5c08a171fea4f0ac3e6,7.0,0,Plastic-Success
276,YES,diddy-found-guilty-of-sex-trafficking,0x451a6fbf108c889c38f056b8323b4e2a6e162d6c,6.0,0,Deafening-Room
277,YES,diddy-found-guilty-of-sex-trafficking,0xf4d9eab09bbde13c079243e1f26a1529630e976e,6.0,0,Fat-Gallon
278,YES,diddy-found-guilty-of-sex-trafficking,0x2670fe2f81dd3ef1dac101a4025f81dd13a7d8a2,6.0,0,Miniature-Firewall
280,YES,diddy-found-guilty-of-sex-trafficking,0xbe3f5a703bf0c4fa5f5e588fee5ad1ff233a8009,6.0,0,Earnest-Greenhouse
279,YES,diddy-found-guilty-of-sex-trafficking,0x5c7c01ed7035a07c3f71174a157bfedac5500b53,6.0,0,Overcooked-Attenuation
282,YES,diddy-found-guilty-of-sex-trafficking,0x3208fc9d4669742755317c82b7832dea8bce0bbf,6.0,0,Ornery-Admire
283,YES,diddy-found-guilty-of-sex-trafficking,0xa2a0a412f0ff30c28d94054520ae9583a54a927c,6.0,0,Fond-Trick
281,YES,diddy-found-guilty-of-sex-trafficking,0xce1aac168aaa09d4c26fc151320c38c400db3945,6.0,0,Delightful-Seaplane
305,NO,diddy-found-guilty-of-sex-trafficking,0xfe940ab2a3ad0b6e2295afb2b4c07f871369f965,5.0,1,Straight-Ruler
286,YES,diddy-found-guilty-of-sex-trafficking,0x13c2692681c01416bd59413e385f488dc52a270b,5.0,0,Elegant-Ecology
287,YES,diddy-found-guilty-of-sex-trafficking,0xd655fcc116e01bc64ab3ac6e762d39c08879fd4b,5.0,0,Better-Inspection
284,YES,diddy-found-guilty-of-sex-trafficking,0x4c62fe0343f9eac64f1a95183e6399d9312bdfa4,5.0,0,Quaint-Inside
